DEST,INFO
ABR,"Aberdeen, SD (ABR)"
ABI,"Abilene, TX (ABI)"
ADK,"Adak Island, AK (ADK)"
BQN,"Aguadilla, PR (BQN)"
CAK,"Akron, OH (CAK)"
ABY,"Albany, GA (ABY)"
ALB,"Albany, NY (ALB)"
ABQ,"Albuquerque, NM (ABQ)"
AEX,"Alexandria, LA (AEX)"
ABE,"Allentown/Bethlehem/Easton, PA (ABE)"
APN,"Alpena, MI (APN)"
AMA,"Amarillo, TX (AMA)"
ANC,"Anchorage, AK (ANC)"
ATW,"Appleton, WI (ATW)"
ACV,"Arcata/Eureka, CA (ACV)"
AVL,"Asheville, NC (AVL)"
HTS,"Ashland, WV (HTS)"
ASE,"Aspen, CO (ASE)"
ATL,"Atlanta, GA (ATL)"
ACY,"Atlantic City, NJ (ACY)"
AGS,"Augusta, GA (AGS)"
AUS,"Austin, TX (AUS)"
BFL,"Bakersfield, CA (BFL)"
BWI,"Baltimore, MD (BWI)"
BGR,"Bangor, ME (BGR)"
BRW,"Barrow, AK (BRW)"
BTR,"Baton Rouge, LA (BTR)"
BPT,"Beaumont/Port Arthur, TX (BPT)"
BLV,"Belleville, IL (BLV)"
BLI,"Bellingham, WA (BLI)"
BJI,"Bemidji, MN (BJI)"
RDM,"Bend/Redmond, OR (RDM)"
BET,"Bethel, AK (BET)"
BIL,"Billings, MT (BIL)"
BGM,"Binghamton, NY (BGM)"
BHM,"Birmingham, AL (BHM)"
BIH,"Bishop, CA (BIH)"
BIS,"Bismarck/Mandan, ND (BIS)"
BMI,"Bloomington/Normal, IL (BMI)"
BOI,"Boise, ID (BOI)"
BOS,"Boston, MA (BOS)"
BZN,"Bozeman, MT (BZN)"
BRD,"Brainerd, MN (BRD)"
TRI,"Bristol/Johnson City/Kingsport, TN (TRI)"
BRO,"Brownsville, TX (BRO)"
BQK,"Brunswick, GA (BQK)"
BUF,"Buffalo, NY (BUF)"
BUR,"Burbank, CA (BUR)"
BTV,"Burlington, VT (BTV)"
BTM,"Butte, MT (BTM)"
CPR,"Casper, WY (CPR)"
CDC,"Cedar City, UT (CDC)"
CID,"Cedar Rapids/Iowa City, IA (CID)"
CMI,"Champaign/Urbana, IL (CMI)"
CHS,"Charleston, SC (CHS)"
CRW,"Charleston/Dunbar, WV (CRW)"
STT,"Charlotte Amalie, VI (STT)"
CLT,"Charlotte, NC (CLT)"
CHO,"Charlottesville, VA (CHO)"
CHA,"Chattanooga, TN (CHA)"
CYS,"Cheyenne, WY (CYS)"
MDW,"Chicago, IL (MDW)"
ORD,"Chicago, IL (ORD)"
STX,"Christiansted, VI (STX)"
CVG,"Cincinnati, OH (CVG)"
CKB,"Clarksburg/Fairmont, WV (CKB)"
CLE,"Cleveland, OH (CLE)"
COD,"Cody, WY (COD)"
CLL,"College Station/Bryan, TX (CLL)"
COS,"Colorado Springs, CO (COS)"
COU,"Columbia, MO (COU)"
CAE,"Columbia, SC (CAE)"
CSG,"Columbus, GA (CSG)"
GTR,"Columbus, MS (GTR)"
LCK,"Columbus, OH (LCK)"
CMH,"Columbus, OH (CMH)"
USA,"Concord, NC (USA)"
CDV,"Cordova, AK (CDV)"
CRP,"Corpus Christi, TX (CRP)"
DAL,"Dallas, TX (DAL)"
DFW,"Dallas/Fort Worth, TX (DFW)"
DAY,"Dayton, OH (DAY)"
DAB,"Daytona Beach, FL (DAB)"
SCC,"Deadhorse, AK (SCC)"
DEC,"Decatur, IL (DEC)"
DRT,"Del Rio, TX (DRT)"
DEN,"Denver, CO (DEN)"
DSM,"Des Moines, IA (DSM)"
DTW,"Detroit, MI (DTW)"
DVL,"Devils Lake, ND (DVL)"
DIK,"Dickinson, ND (DIK)"
DLG,"Dillingham, AK (DLG)"
DDC,"Dodge City, KS (DDC)"
DHN,"Dothan, AL (DHN)"
DLH,"Duluth, MN (DLH)"
DRO,"Durango, CO (DRO)"
EGE,"Eagle, CO (EGE)"
EAU,"Eau Claire, WI (EAU)"
ELP,"El Paso, TX (ELP)"
EKO,"Elko, NV (EKO)"
ELM,"Elmira/Corning, NY (ELM)"
ERI,"Erie, PA (ERI)"
ESC,"Escanaba, MI (ESC)"
EUG,"Eugene, OR (EUG)"
EVV,"Evansville, IN (EVV)"
PAE,"Everett, WA (PAE)"
FAI,"Fairbanks, AK (FAI)"
FAR,"Fargo, ND (FAR)"
XNA,"Fayetteville, AR (XNA)"
FAY,"Fayetteville, NC (FAY)"
FLG,"Flagstaff, AZ (FLG)"
