,ORIGIN,lat,lon
0,XNA,36.2815791666667,-94.3077655555555
1,LGA,40.77725,-73.8726111111111
3,LSE,43.8792656666667,-91.2566336111111
4,MSP,44.8819722222222,-93.2217777777778
5,ATL,33.6366996111111,-84.427864
6,CID,41.8846885833333,-91.7107986111111
7,BGR,44.8074444444444,-68.8281388888889
9,CHO,38.1396427777778,-78.4523441666667
10,BTV,44.471955,-73.1532761111111
11,ILM,34.2711388888889,-77.9028888888889
13,SAV,32.1275833333333,-81.2021388888889
15,CVG,39.0488375,-84.6678208333333
17,RDU,35.8776388888889,-78.7874722222222
18,JFK,40.6399277777778,-73.7786925
20,MGM,32.3006388888889,-86.3939722222222
22,STL,38.7486982222222,-90.3700257222222
26,AVL,35.4361130555556,-82.5420475
28,AUS,30.1945272222222,-97.6698761111111
33,CAE,33.9388377777778,-81.1195361111111
35,CLT,35.21375,-80.9490555555556
38,DTW,42.2124444444445,-83.3533888888889
39,MQT,46.3491583333333,-87.3963716666667
40,MSN,43.1398791388889,-89.3375044722222
42,AZO,42.2343888888889,-85.5515555555556
48,BQK,31.2590346944444,-81.4663158333333
50,BNA,36.124475,-86.6781805555556
54,ORF,36.8946041666667,-76.2012291666667
55,GRB,44.4846336111111,-88.1297133333333
56,IND,39.7173055555556,-86.2946388888889
57,CHS,32.8986388888889,-80.0405277777778
59,DCA,38.8514402777778,-77.0377213888889
60,ATW,44.2580930555556,-88.5190722222222
66,GSP,34.8956711111111,-82.2188594444444
69,MCI,39.2976111111111,-94.7138888888889
74,TYS,35.8110911111111,-83.9940672222222
77,CWA,44.7776236666667,-89.6667780277778
81,ROC,43.1191436111111,-77.6718688888889
85,PIT,40.4914166666667,-80.2326944444444
87,MDT,40.1931916666667,-76.7626191666667
92,RIC,37.5051811111111,-77.3197386111111
104,DSM,41.5339727777778,-93.6630722222222
109,ALB,42.7491161111111,-73.80198
111,BUF,42.9404272222222,-78.7305697222222
114,SYR,43.1111944444444,-76.1063055555556
116,MBS,43.5329269444444,-84.0796358333333
118,MEM,35.0424113888889,-89.9766791666667
129,GRR,42.8808333333333,-85.5228055555555
131,MKE,42.9469319444444,-87.8970644444445
132,CLE,41.4094069444444,-81.8546911111111
143,ABY,31.5355277777778,-84.1944722222222
145,GSO,36.1013266666667,-79.9411227777778
165,MYR,33.6797411111111,-78.9283213888889
170,TRI,36.4752077777778,-82.4074152777778
