,ORIGIN,dep_hour,dep_count
0,ABE,0,2
1,ABE,5,338
2,ABE,6,935
3,ABE,7,382
4,ABE,8,322
5,ABE,9,160
6,ABE,10,69
7,ABE,11,314
8,ABE,12,461
9,ABE,13,164
10,ABE,14,233
11,ABE,15,201
12,ABE,16,176
13,ABE,17,732
14,ABE,18,120
15,ABE,19,157
16,ABE,20,47
17,ABE,21,18
18,ABE,22,13
19,ABE,23,1
20,ABI,4,26
21,ABI,5,22
22,ABI,6,311
23,ABI,7,29
24,ABI,8,77
25,ABI,9,16
26,ABI,10,249
27,ABI,11,68
28,ABI,12,84
29,ABI,13,18
30,ABI,14,112
31,ABI,15,80
32,ABI,16,90
33,ABI,17,32
34,ABI,18,173
35,ABI,19,35
36,ABI,20,9
37,ABI,21,1
38,ABI,22,1
39,ABI,23,1
40,ABQ,0,83
41,ABQ,1,28
42,ABQ,2,12
43,ABQ,3,3
44,ABQ,4,74
45,ABQ,5,1603
46,ABQ,6,2087
47,ABQ,7,1817
48,ABQ,8,927
49,ABQ,9,501
50,ABQ,10,1830
51,ABQ,11,2191
52,ABQ,12,2307
53,ABQ,13,1581
54,ABQ,14,1540
55,ABQ,15,1406
56,ABQ,16,1581
57,ABQ,17,1440
58,ABQ,18,1785
59,ABQ,19,1362
60,ABQ,20,692
61,ABQ,21,276
62,ABQ,22,98
63,ABQ,23,134
64,ABR,6,319
65,ABR,7,40
66,ABR,8,7
67,ABR,9,2
68,ABR,10,7
69,ABR,11,1
70,ABR,14,1
71,ABR,15,55
72,ABR,16,15
73,ABR,17,81
74,ABR,18,188
75,ABR,19,22
76,ABR,20,7
77,ABR,22,1
78,ABY,6,21
79,ABY,7,337
80,ABY,8,12
81,ABY,9,8
82,ABY,10,6
83,ABY,11,5
84,ABY,12,147
85,ABY,13,66
86,ABY,14,81
87,ABY,15,60
88,ABY,16,89
89,ABY,17,63
90,ABY,18,3
91,ABY,19,4
92,ABY,20,2
93,ABY,21,1
94,ACK,9,74
95,ACK,10,159
96,ACK,11,256
97,ACK,12,208
98,ACK,13,144
99,ACK,14,226
100,ACK,15,141
101,ACK,16,109
102,ACK,17,207
103,ACK,18,189
104,ACK,19,35
105,ACK,20,25
106,ACK,21,4
107,ACK,22,5
108,ACK,23,2
109,ACT,0,1
110,ACT,2,1
111,ACT,4,27
112,ACT,5,118
113,ACT,6,202
114,ACT,7,12
115,ACT,8,5
116,ACT,9,7
117,ACT,10,332
118,ACT,11,41
119,ACT,12,13
120,ACT,13,4
121,ACT,14,34
122,ACT,15,20
123,ACT,16,12
124,ACT,17,6
125,ACT,18,254
126,ACT,19,52
127,ACT,20,25
128,ACT,21,13
129,ACT,22,5
130,ACT,23,1
131,ACV,5,64
132,ACV,6,289
133,ACV,7,43
134,ACV,8,4
