,ORIGIN,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEP_DEL15,flight_count
0,ABE,40.6523627777778,-75.4404058333333,0.1458032584037946,4886
1,ABI,32.4113333333333,-99.6818888888889,0.1615598885793872,1453
2,ABQ,35.0389315555556,-106.608262166667,0.1941575337065363,25703
3,ABR,45.4467980555556,-98.4224408333333,0.09651474530831099,770
4,ABY,31.5355277777778,-84.1944722222222,0.09392265193370165,907
5,ACK,41.2529750555556,-70.0599114166667,0.24552572706935122,1928
6,ACT,31.6121944444444,-97.2303055555556,0.1991561181434599,1209
7,ACV,40.9778263888889,-124.108469166667,0.16102683780630106,1750
8,ACY,39.4575833333333,-74.5771666666667,0.18825781748564135,3207
9,ADK,51.8835827777778,-176.642482222222,0.2358490566037736,113
10,ADQ,57.7497938888889,-152.493943611111,0.13882063882063883,845
11,AEX,31.3273716666667,-92.5485558333333,0.16424116424116425,1953
12,AGS,33.3699444444444,-81.9645,0.16388616290480865,5126
13,AKN,58.6764934722222,-156.648691,0.17391304347826086,574
14,ALB,42.7491161111111,-73.80198,0.16011912305157774,16104
15,ALO,42.5584491666667,-92.4010233333333,0.2030178326474623,750
16,ALW,46.0925416666667,-118.2840825,0.1111111111111111,478
17,AMA,35.2193611111111,-101.705916666667,0.15827456125963588,6217
18,ANC,61.1740847222222,-149.9981375,0.16034451981435202,22721
19,APN,45.0780833333333,-83.5603055555556,0.2028985507246377,501
20,ART,43.9918333333333,-76.0194166666667,0.10263522884882108,758
21,ASE,39.2218888888889,-106.868222222222,0.30076021539436176,6905
22,ATL,33.6366996111111,-84.427864,0.2102960584137117,361910
23,ATW,44.2580930555556,-88.5190722222222,0.17970554272517322,7044
24,AUS,30.1945272222222,-97.6698761111111,0.2250356164937204,100685
25,AVL,35.4361130555556,-82.5420475,0.2027037586934438,12963
26,AVP,41.3384722222222,-75.7233888888889,0.17131203263086336,3002
27,AZA,33.3078238888889,-111.655459166667,0.22268978286483757,5997
28,AZO,42.2343888888889,-85.5515555555556,0.14465032875074715,1697
29,BDL,41.9390322222222,-72.6843158333333,0.1921450642380875,24969
30,BET,60.7785555555556,-161.837166666667,0.3445491251682369,771
31,BFF,41.8740277777778,-103.595638888889,0.1,656
32,BFL,35.4338611111111,-119.057666666667,0.17697228144989338,2842
33,BGM,42.2084444444444,-75.9796111111111,0.12267080745341614,667
34,BGR,44.8074444444444,-68.8281388888889,0.1436813698120231,5571
35,BHM,33.5638888888889,-86.7523055555556,0.18520343902305458,18525
36,BIH,37.3731111111111,-118.363611111111,0.23790322580645162,262
37,BIL,45.8078491388889,-108.543543555556,0.14906832298136646,4886
38,BIS,46.7727338888889,-100.7457375,0.18174539631705364,3853
39,BJI,47.5107222222222,-94.9347222222222,0.1117092866756393,763
40,BLI,48.7926944444444,-122.537527777778,0.16703786191536749,3185
41,BLV,38.5451730555556,-89.8351855555556,0.2580340264650284,1070
42,BMI,40.4771111111111,-88.9159166666667,0.15606508875739644,2737
43,BNA,36.124475,-86.6781805555556,0.20933096182788344,104220
44,BOI,43.5643611111111,-116.222861111111,0.14059040590405905,27350
45,BOS,42.3629444444444,-71.0063888888889,0.22524822882695755,153998
46,BPT,29.9508333333333,-94.0206944444444,0.13797634691195795,786
47,BQK,31.2590346944444,-81.4663158333333,0.1265984654731458,785
48,BQN,18.4948611111111,-67.1294444444444,0.3908646003262643,3139
49,BRD,46.4042222222222,-94.1338055555556,0.10441176470588236,697
50,BRO,25.9061388888889,-97.426,0.12962962962962962,2962
51,BRW,71.2848611111111,-156.768583333333,0.3596938775510204,409
52,BTM,45.9548055555556,-112.497472222222,0.04033379694019471,727
53,BTR,30.5329166666667,-91.1498888888889,0.15752551020408162,6355
54,BTV,44.471955,-73.1532761111111,0.1481560434875293,9606
55,BUF,42.9404272222222,-78.7305697222222,0.1894881856892377,24883
56,BUR,34.2006944444444,-118.358666666667,0.19024936061381073,32094
57,BWI,39.1757283333333,-76.6689911111111,0.294687236470063,102528
58,BZN,45.7772357777778,-111.150260277778,0.19684361549497847,10608
59,CAE,33.9388377777778,-81.1195361111111,0.13991769547325103,9839
60,CAK,40.9150555555556,-81.4436388888889,0.1592752839372634,3759
61,CDC,37.70097,-113.098850833333,0.07934131736526946,672
62,CDV,60.4916397222222,-145.477557777778,0.16557161629434955,782
63,CHA,35.0351944444444,-85.2035555555556,0.16046213093709885,7851
64,CHO,38.1396427777778,-78.4523441666667,0.11726181194448776,6516
65,CHS,32.8986388888889,-80.0405277777778,0.1885940146809712,27022
66,CID,41.8846885833333,-91.7107986111111,0.16468401486988848,8216
67,CIU,46.2507516666667,-84.4723841666667,0.16358839050131926,776
68,CKB,39.2976547222222,-80.2275319444445,0.3024054982817869,294
69,CLE,41.4094069444444,-81.8546911111111,0.18148553069010911,45744
70,CLL,30.5880418888889,-96.3625444444444,0.14782608695652175,1177
71,CLT,35.21375,-80.9490555555556,0.20232333010648595,240749
72,CMH,39.9969466666667,-82.8921591666667,0.1604071995010247,45747
73,CMI,40.0385608333333,-88.2765391666667,0.11481481481481481,1650
74,CMX,47.1684163888889,-88.4890686111111,0.21690140845070421,764
75,CNY,38.7576311111111,-109.753462777778,0.12094395280235988,692
76,COD,44.5201944444444,-109.023805555556,0.22573099415204678,896
77,COS,38.8058166666667,-104.700776388889,0.18509521197398324,13014
78,COU,38.8177355555556,-92.2177922222222,0.1850079744816587,1902
79,CPR,42.9058611111111,-106.463638888889,0.19857142857142857,2171
80,CRP,27.7721944444444,-97.5024166666667,0.12650918635170605,5806
81,CRW,38.3760130555556,-81.5928936111111,0.16874502520562484,3830
82,CSG,32.5163333333333,-84.9388611111111,0.14468085106382977,1436
83,CVG,39.0488375,-84.6678208333333,0.1737488626023658,44634
84,CWA,44.7776236666667,-89.6667780277778,0.14294049008168028,1741
85,CYS,41.1556388888889,-104.810472222222,0.13253012048192772,432
86,DAB,29.1799088888889,-81.0580422222222,0.1688963210702341,3037
87,DAL,32.8459447222222,-96.8508766666667,0.2521825955605622,79965
88,DAY,39.9022522222222,-84.2194122222222,0.14860173577627772,10485
89,DCA,38.8514402777778,-77.0377213888889,0.17665316875004075,156083
90,DDC,37.7631111111111,-99.9654166666667,0.16253869969040247,674
91,DEC,39.8345625,-88.8656891666667,0.17557251908396945,1078
92,DEN,39.8616666666667,-104.673166666667,0.281998389217306,320346
93,DFW,32.8972330555556,-97.0376947222222,0.2441612891584842,309852
94,DHN,31.3210277777778,-85.4494722222222,0.10841836734693877,786
95,DIK,46.8004736111111,-102.804435277778,0.15,690
96,DLG,59.0446666666667,-158.5055,0.20436507936507936,535
97,DLH,46.84206975,-92.1932372222222,0.138801261829653,2268
98,DRO,37.1515277777778,-107.753777777778,0.18419811320754717,4328
99,DRT,29.3742069444444,-100.927156944444,0.18088737201365188,303
100,DSM,41.5339727777778,-93.6630722222222,0.17815949398486916,16355
101,DTW,42.2124444444445,-83.3533888888889,0.17381168433555394,137444
102,DVL,48.1165908333333,-98.9099880555556,0.15568862275449102,728
103,EAT,47.3988055555556,-120.206833333333,0.12946428571428573,468
104,EAU,44.8658055555556,-91.48425,0.13333333333333333,30
105,ECP,30.3582408333333,-85.7956022222222,0.17420246169304196,8036
106,EGE,39.64275,-106.915944444444,0.2572831423895254,3128
107,EKO,40.825,-115.791333333333,0.07142857142857142,396
108,ELM,42.1598561388889,-76.8917456666667,0.14832089552238806,1080
109,ELP,31.8073333333333,-106.376361111111,0.18270625785859368,20973
110,ERI,42.0830833333333,-80.1739444444444,0.1176954732510288,1228
111,ESC,45.7226741666667,-87.0937158333333,0.1354309165526676,752
112,EUG,44.1245833333333,-123.211972222222,0.1584404363322173,9346
113,EVV,38.0408055555556,-87.5285,0.11277218069548262,3101
114,EWN,35.0728544444444,-77.0430197222222,0.11123658949745906,1776
115,EWR,40.6924798333333,-74.1686867777778,0.2422197931978943,163874
116,EYW,24.5561197222222,-81.7599558333333,0.22444889779559118,7570
117,FAI,64.8153555555556,-147.856666666667,0.14685972169988717,5385
118,FAR,46.9206388888889,-96.81575,0.17473897911832947,7088
119,FAT,36.7765555555556,-119.718833333333,0.1676702569756594,11892
120,FAY,34.9912111111111,-78.8802741666667,0.15038809831824063,3120
121,FCA,48.3105,-114.256,0.1534922626516102,4844
122,FLG,35.1403158333333,-111.669241388889,0.12464428002276608,1812
123,FLL,26.0716666666667,-80.1496944444444,0.32124407406620037,96068
124,FLO,34.1853611111111,-79.7238888888889,0.09622886866059818,774
125,FNT,42.9654722222222,-83.74475,0.18709884467265725,3160
126,FOD,42.5511944444444,-94.1918333333333,0.15481832543443919,654
127,FSD,43.5820180555556,-96.741925,0.18407458737558272,8142
128,FSM,35.3365866666667,-94.3674447222222,0.1495246326707001,1197
129,FWA,40.9784722222222,-85.1951666666667,0.18878787878787878,6670
130,GCC,44.3489080555556,-105.5393675,0.12518853695324283,681
131,GCK,37.9275277777778,-100.724416666667,0.13756613756613756,784
132,GEG,47.6190277777778,-117.535222222222,0.15336363636363637,22243
133,GFK,47.9472777777778,-97.1737777777778,0.1395007342143906,1393
134,GGG,32.384,-94.7115,0.13368283093053734,779
135,GJT,39.1224166666667,-108.52675,0.17779868297271872,4325
136,GNV,29.6900555555556,-82.2717777777778,0.15947420634920634,4068
137,GPT,30.4072691666667,-89.0700958333333,0.10785520807682837,4105
138,GRB,44.4846336111111,-88.1297133333333,0.13575244059679498,5512
139,GRI,40.9675425,-98.3096388888889,0.24748490945674045,1017
140,GRK,31.06725,-97.8289166666667,0.1747835497835498,1890
141,GRR,42.8808333333333,-85.5228055555555,0.16284865839431542,19262
142,GSO,36.1013266666667,-79.9411227777778,0.12850644427596664,13393
143,GSP,34.8956711111111,-82.2188594444444,0.13539352319396755,15060
144,GST,58.4252777777778,-135.707416666667,0.09333333333333334,75
145,GTF,47.4822992777778,-111.370279416667,0.11940298507462686,2771
146,GTR,33.4482777777778,-88.5913888888889,0.08950276243093923,909
147,GUC,38.5343333333333,-106.93175,0.20768307322929172,879
148,GUM,13.4839506666667,144.797127111111,0.10125,817
149,HDN,40.4811944444444,-107.217666666667,0.23236514522821577,2502
150,HGR,39.7085,-77.7265,0.3407079646017699,227
151,HHH,32.224495,-80.6974008333333,0.19618949536560248,1976
152,HIB,47.386575,-92.8389780555556,0.08955223880597014,750
153,HLN,46.6067222222222,-111.983277777778,0.08938869665513265,1749
154,HNL,21.3178172222222,-157.9202275,0.20652622252096733,66179
155,HOB,32.6875,-103.217333333333,0.12140575079872204,634
156,HOU,29.6457998333333,-95.2772315833333,0.22675546248777054,59195
157,HPN,41.0669530555556,-73.7075661111111,0.20207777216651035,14060
158,HRL,26.2271111111111,-97.6551388888889,0.14546491728465488,5357
159,HSV,34.6371969444444,-86.7750541666667,0.15479736438306707,11185
160,HTS,38.3685078055556,-82.5603602222222,0.20063191153238547,1277
161,HYA,41.6693372222222,-70.2803591666667,0.2708333333333333,208
162,HYS,38.8422222222222,-99.2731666666667,0.1878238341968912,789
163,IAD,38.9474444444444,-77.4599444444444,0.1777432003485405,81357
164,IAG,43.1075573611111,-78.9458466666667,0.31129476584022037,373
165,IAH,29.9844352777778,-95.3414425,0.2319969679103849,168243
166,ICT,37.6499525,-97.4330427777778,0.16952828483643592,11251
167,IDA,43.5136733333333,-112.070820277778,0.1683814303638645,4046
168,ILM,34.2711388888889,-77.9028888888889,0.1371519853947969,8941
169,IMT,45.8183611111111,-88.1145555555556,0.14659685863874344,784
170,IND,39.7173055555556,-86.2946388888889,0.161019235158633,49047
171,INL,48.5655877777778,-93.4021791666667,0.10883280757097792,650
172,ISP,40.7961356944444,-73.1006650555556,0.2330606251311097,4882
173,ITH,42.4913611111111,-76.4587222222222,0.12526242127361792,1501
174,ITO,19.720263,-155.048470138889,0.15178804489689376,7743
175,JAC,43.6073333333333,-110.73775,0.24159192825112108,5435
176,JAN,32.3111666666667,-90.0758888888889,0.13574338085539714,9920
177,JAX,30.4940455555556,-81.6878466666667,0.20228799125935923,31652
178,JFK,40.6399277777778,-73.7786925,0.2365077909527605,144942
179,JLN,37.1531675,-94.4988083333333,0.1696969696969697,671
180,JMS,46.9297222222222,-98.6781944444444,0.11566617862371889,728
181,JNU,58.3547118055556,-134.578470527778,0.12439222042139383,5049
182,JST,40.3155555555556,-78.8346666666667,0.1671018276762402,784
