,ORIGIN,DEST,AVG_DISTANCE
0,ABE,ATL,692.0
1,ABE,BNA,685.0
2,ABE,CLT,481.0
3,ABE,DEN,1539.0
4,ABE,FLL,1041.0
5,ABE,MLB,914.0
6,ABE,MYR,518.0
7,ABE,ORD,655.0
8,ABE,PGD,1018.0
9,ABE,PIE,970.0
10,ABE,SFB,882.0
11,ABE,SRQ,1000.0
12,ABI,DFW,158.0
13,ABQ,ATL,1269.0
14,ABQ,AUS,619.0
15,ABQ,BUR,672.0
16,ABQ,BWI,1670.0
17,ABQ,DAL,580.0
18,ABQ,DEN,349.0
19,ABQ,DFW,569.0
20,ABQ,EWR,1805.0
21,ABQ,HOU,759.0
22,ABQ,IAD,1628.0
23,ABQ,IAH,744.0
24,ABQ,JFK,1826.0
25,ABQ,LAS,486.0
26,ABQ,LAX,677.0
27,ABQ,LGB,664.0
28,ABQ,MCI,718.0
29,ABQ,MCO,1553.0
30,ABQ,MDW,1121.0
31,ABQ,MSP,981.0
32,ABQ,OAK,889.0
33,ABQ,ORD,1118.0
34,ABQ,PDX,1111.0
35,ABQ,PHX,328.0
36,ABQ,SAN,628.0
37,ABQ,SAT,609.0
38,ABQ,SEA,1180.0
39,ABQ,SFO,896.0
40,ABQ,SLC,493.0
41,ABR,MSP,257.0
42,ABY,ATL,145.0
43,ACK,BOS,91.0
44,ACK,CLT,723.0
45,ACK,DCA,405.0
46,ACK,EWR,218.0
47,ACK,HPN,191.0
48,ACK,JFK,199.0
49,ACK,LGA,202.0
50,ACK,ORD,924.0
51,ACK,PHL,289.0
52,ACT,DFW,89.0
53,ACV,DEN,1026.0
54,ACV,LAX,577.0
55,ACV,SFO,250.0
56,ACY,FLL,977.0
57,ACY,MCO,852.0
58,ACY,MYR,466.0
59,ACY,PBI,936.0
60,ACY,RSW,982.0
61,ACY,TPA,913.0
62,ADK,ANC,1192.0
63,ADQ,ANC,253.0
64,AEX,ATL,500.0
65,AEX,DFW,285.0
66,AGS,ATL,143.0
67,AGS,AUS,949.0
68,AGS,BOS,861.0
69,AGS,CLT,140.0
70,AGS,DCA,468.0
71,AGS,DFW,874.0
72,AGS,DTW,615.0
73,AGS,LGA,678.0
74,AGS,MIA,531.0
75,AGS,ORD,677.0
76,AGS,PHL,583.0
77,AGS,PHX,1731.0
78,AKN,ANC,288.0
79,ALB,ATL,853.0
80,ALB,BNA,825.0
81,ALB,BWI,289.0
82,ALB,CLT,646.0
83,ALB,DCA,318.0
84,ALB,DEN,1610.0
85,ALB,DFW,1435.0
86,ALB,DTW,489.0
87,ALB,EWR,143.0
88,ALB,FLL,1204.0
89,ALB,IAD,325.0
90,ALB,LGA,136.0
91,ALB,MCO,1073.0
92,ALB,MDW,717.0
93,ALB,MIA,1225.0
94,ALB,MYR,685.0
95,ALB,ORD,723.0
96,ALB,PGD,1185.0
97,ALB,PHL,212.0
98,ALB,PIE,1138.0
99,ALB,SFB,1049.0
100,ALB,TPA,1130.0
101,ALO,ORD,234.0
102,ALW,SEA,213.0
103,AMA,AUS,418.0
104,AMA,DAL,323.0
105,AMA,DEN,359.0
106,AMA,DFW,312.0
107,AMA,HOU,537.0
108,AMA,IAH,517.0
109,AMA,LAS,758.0
110,ANC,ADK,1192.0
111,ANC,ADQ,253.0
112,ANC,AKN,288.0
113,ANC,ATL,3417.0
114,ANC,BET,399.0
115,ANC,BRW,725.0
116,ANC,CDV,160.0
117,ANC,DEN,2405.0
118,ANC,DFW,3043.0
119,ANC,DLG,329.0
120,ANC,EWR,3370.0
121,ANC,FAI,261.0
122,ANC,HNL,2777.0
123,ANC,IAH,3266.0
124,ANC,JNU,571.0
125,ANC,KOA,2874.0
126,ANC,LAS,2304.0
127,ANC,LAX,2345.0
128,ANC,MSP,2519.0
129,ANC,OGG,2797.0
130,ANC,OME,539.0
131,ANC,ORD,2846.0
132,ANC,OTZ,548.0
133,ANC,PAE,1425.0
134,ANC,PDX,1542.0
135,ANC,PHX,2552.0
136,ANC,SCC,626.0
137,ANC,SEA,1448.0
138,ANC,SFO,2018.0
139,ANC,SLC,2125.0
140,APN,DTW,198.0
141,APN,PLN,69.0
142,ART,PHL,287.0
143,ASE,ATL,1304.0
144,ASE,AUS,812.0
145,ASE,DEN,125.0
146,ASE,DFW,701.0
147,ASE,IAH,913.0
148,ASE,LAX,737.0
149,ASE,ORD,1013.0
150,ASE,PHX,491.0
151,ASE,SFO,848.0
152,ATL,ABE,692.0
153,ATL,ABQ,1269.0
154,ATL,ABY,145.0
155,ATL,AEX,500.0
156,ATL,AGS,143.0
157,ATL,ALB,853.0
158,ATL,ANC,3417.0
159,ATL,ASE,1304.0
160,ATL,ATW,765.0
161,ATL,AUS,813.0
162,ATL,AVL,164.0
163,ATL,BDL,859.0
164,ATL,BHM,134.0
165,ATL,BMI,533.0
166,ATL,BNA,214.0
167,ATL,BOI,1838.0
168,ATL,BOS,946.0
169,ATL,BQK,238.0
170,ATL,BTR,448.0
171,ATL,BTV,961.0
172,ATL,BUF,712.0
173,ATL,BWI,577.0
174,ATL,BZN,1640.0
175,ATL,CAE,192.0
176,ATL,CHA,106.0
177,ATL,CHO,457.0
178,ATL,CHS,259.0
179,ATL,CID,694.0
180,ATL,CLE,554.0
181,ATL,CLT,226.0
182,ATL,CMH,447.0
183,ATL,COS,1184.0
184,ATL,CRW,363.0
185,ATL,CSG,83.0
186,ATL,CVG,373.0
187,ATL,DAB,366.0
188,ATL,DAL,721.0
189,ATL,DAY,432.0
190,ATL,DCA,547.0
191,ATL,DEN,1199.0
192,ATL,DFW,731.0
193,ATL,DHN,170.0
194,ATL,DSM,743.0
195,ATL,DTW,594.0
196,ATL,ECP,240.0
