,ORIGIN,DEST,DEP_DEL15,Group
0,ABE,ATL,0.13679245283018868,1
1,ABE,BNA,0.13194444444444445,1
2,ABE,CLT,0.11890504704875962,1
3,ABE,DEN,0.1836734693877551,2
4,ABE,FLL,0.27184466019417475,4
5,ABE,MLB,0.0,0
6,ABE,MYR,0.08333333333333333,0
7,ABE,ORD,0.20044543429844097,3
8,ABE,PGD,0.1583710407239819,2
9,ABE,PIE,0.13454545454545455,1
10,ABE,SFB,0.13622291021671826,1
11,ABE,SRQ,0.11607142857142858,1
12,ABI,DFW,0.1615598885793872,2
13,ABQ,ATL,0.1152073732718894,1
14,ABQ,AUS,0.21428571428571427,3
15,ABQ,BUR,0.26373626373626374,4
16,ABQ,BWI,0.41830065359477125,5
17,ABQ,DAL,0.20876712328767122,3
18,ABQ,DEN,0.22017094017094016,3
19,ABQ,DFW,0.21056977704376548,3
20,ABQ,EWR,0.18181818181818182,2
21,ABQ,HOU,0.18407445708376421,2
22,ABQ,IAD,0.18181818181818182,2
23,ABQ,IAH,0.17067108533554268,2
24,ABQ,JFK,0.46601941747572817,5
25,ABQ,LAS,0.25085407515861396,4
26,ABQ,LAX,0.12224842767295598,1
27,ABQ,LGB,0.10843373493975904,1
28,ABQ,MCI,0.38028169014084506,5
29,ABQ,MCO,0.2916666666666667,4
30,ABQ,MDW,0.2161520190023753,3
31,ABQ,MSP,0.10465116279069768,1
32,ABQ,OAK,0.06402439024390244,0
33,ABQ,ORD,0.18874172185430463,2
34,ABQ,PDX,0.21678321678321677,3
35,ABQ,PHX,0.1840843720038351,2
36,ABQ,SAN,0.2719869706840391,4
37,ABQ,SAT,0.2777777777777778,4
38,ABQ,SEA,0.23387096774193547,3
39,ABQ,SFO,0.2109704641350211,3
40,ABQ,SLC,0.08222811671087533,0
41,ABR,MSP,0.09651474530831099,0
42,ABY,ATL,0.09392265193370165,0
43,ACK,BOS,0.2840909090909091,4
44,ACK,CLT,0.4,5
45,ACK,DCA,0.18796992481203006,2
46,ACK,EWR,0.19318181818181818,2
47,ACK,HPN,0.16030534351145037,2
48,ACK,JFK,0.2987951807228916,4
49,ACK,LGA,0.2651685393258427,4
50,ACK,ORD,0.6363636363636364,5
51,ACK,PHL,0.2,2
52,ACT,DFW,0.1991561181434599,2
53,ACV,DEN,0.2323529411764706,3
54,ACV,LAX,0.11466666666666667,1
55,ACV,SFO,0.15415415415415415,2
56,ACY,FLL,0.31417624521072796,5
57,ACY,MCO,0.21209213051823417,3
58,ACY,MYR,0.14457831325301204,1
59,ACY,PBI,0.12209302325581395,1
60,ACY,RSW,0.06652360515021459,0
61,ACY,TPA,0.19626168224299065,2
62,ADK,ANC,0.2358490566037736,3
63,ADQ,ANC,0.13882063882063883,1
64,AEX,ATL,0.1265984654731458,1
65,AEX,DFW,0.19001751313485113,2
66,AGS,ATL,0.15866483767718337,2
67,AGS,AUS,0.0,0
68,AGS,BOS,0.14285714285714285,1
69,AGS,CLT,0.14335490293678446,1
70,AGS,DCA,0.22081218274111675,3
71,AGS,DFW,0.1939252336448598,2
72,AGS,DTW,0.42857142857142855,5
73,AGS,LGA,0.2857142857142857,4
74,AGS,MIA,0.6666666666666666,5
75,AGS,ORD,0.5454545454545454,5
76,AGS,PHL,0.35714285714285715,5
77,AGS,PHX,0.5,5
78,AKN,ANC,0.17391304347826086,2
79,ALB,ATL,0.17164179104477612,2
80,ALB,BNA,0.30701754385964913,5
81,ALB,BWI,0.15028901734104047,2
82,ALB,CLT,0.19483985765124556,2
83,ALB,DCA,0.15223880597014924,2
84,ALB,DEN,0.2857142857142857,4
85,ALB,DFW,0.125,1
86,ALB,DTW,0.13930348258706468,1
87,ALB,EWR,0.09170305676855896,0
88,ALB,FLL,0.25885558583106266,4
89,ALB,IAD,0.12048192771084337,1
90,ALB,LGA,0.12610837438423644,1
91,ALB,MCO,0.2663101604278075,4
92,ALB,MDW,0.19054441260744986,2
93,ALB,MIA,0.16666666666666666,2
94,ALB,MYR,0.17757009345794392,2
95,ALB,ORD,0.15172054223149115,2
96,ALB,PGD,0.25,3
97,ALB,PHL,0.1102873030583874,1
98,ALB,PIE,0.15447154471544716,2
99,ALB,SFB,0.3069306930693069,5
100,ALB,TPA,0.15763546798029557,2
101,ALO,ORD,0.2030178326474623,3
102,ALW,SEA,0.1111111111111111,1
103,AMA,AUS,0.032640949554896145,0
104,AMA,DAL,0.12797202797202797,1
105,AMA,DEN,0.20154043645699615,3
106,AMA,DFW,0.17792494481236204,2
107,AMA,HOU,0.0,0
108,AMA,IAH,0.15427927927927929,2
109,AMA,LAS,0.18829516539440203,2
110,ANC,ADK,0.1320754716981132,1
111,ANC,ADQ,0.15738498789346247,2
112,ANC,AKN,0.16538461538461538,2
113,ANC,ATL,0.44660194174757284,5
114,ANC,BET,0.19154557463672392,2
115,ANC,BRW,0.2878787878787879,4
116,ANC,CDV,0.18974358974358974,2
117,ANC,DEN,0.2925531914893617,4
118,ANC,DFW,0.41643835616438357,5
119,ANC,DLG,0.15384615384615385,2
120,ANC,EWR,0.4,5
121,ANC,FAI,0.13508771929824562,1
122,ANC,HNL,0.14958448753462603,1
123,ANC,IAH,0.28421052631578947,4
124,ANC,JNU,0.11541501976284585,1
125,ANC,KOA,0.10227272727272728,1
126,ANC,LAS,0.08695652173913043,0
127,ANC,LAX,0.17506631299734748,2
128,ANC,MSP,0.13853503184713375,1
129,ANC,OGG,0.08602150537634409,0
130,ANC,OME,0.16194331983805668,2
131,ANC,ORD,0.25769230769230766,4
132,ANC,OTZ,0.16486486486486487,2
133,ANC,PAE,0.2028169014084507,3
134,ANC,PDX,0.16846986089644514,2
135,ANC,PHX,0.17295597484276728,2
136,ANC,SCC,0.10044642857142858,1
137,ANC,SEA,0.1309164149043303,1
138,ANC,SFO,0.2028301886792453,3
139,ANC,SLC,0.15476190476190477,2
140,APN,DTW,0.18114143920595532,2
141,APN,PLN,0.3125,5
142,ART,PHL,0.10263522884882108,1
143,ASE,ATL,0.38219895287958117,5
144,ASE,AUS,0.336734693877551,5
145,ASE,DEN,0.2626865671641791,4
146,ASE,DFW,0.2964824120603015,4
147,ASE,IAH,0.38519924098671726,5
148,ASE,LAX,0.29298642533936653,4
149,ASE,ORD,0.30062111801242236,5
150,ASE,PHX,0.42045454545454547,5
151,ASE,SFO,0.38162544169611307,5
152,ATL,ABE,0.1460885956644675,1
153,ATL,ABQ,0.16866359447004609,2
154,ATL,ABY,0.09161147902869757,0
155,ATL,AEX,0.12198221092757307,1
156,ATL,AGS,0.1667428049337597,2
157,ATL,ALB,0.22014925373134328,3
158,ATL,ANC,0.44660194174757284,5
159,ATL,ASE,0.25853658536585367,4
160,ATL,ATW,0.09693877551020408,0
161,ATL,AUS,0.21129326047358835,3
162,ATL,AVL,0.14087034544638852,1
163,ATL,BDL,0.16666666666666666,2
164,ATL,BHM,0.17824153267191242,2
165,ATL,BMI,0.1683673469387755,2
166,ATL,BNA,0.17932187201528177,2
167,ATL,BOI,0.1331923890063425,1
168,ATL,BOS,0.2475908080059303,3
169,ATL,BQK,0.14030612244897958,1
170,ATL,BTR,0.1300251256281407,1
171,ATL,BTV,0.125,1
172,ATL,BUF,0.23261032161555723,3
173,ATL,BWI,0.2686022760431865,4
174,ATL,BZN,0.15,1
175,ATL,CAE,0.14601566098572086,1
176,ATL,CHA,0.1536910044372731,2
177,ATL,CHO,0.09646017699115045,0
178,ATL,CHS,0.17288253746950158,2
179,ATL,CID,0.17135549872122763,2
180,ATL,CLE,0.22283205268935236,3
181,ATL,CLT,0.16024302259350673,2
182,ATL,CMH,0.17913691400186277,2
183,ATL,COS,0.2849162011173184,4
184,ATL,CRW,0.14013346043851288,1
185,ATL,CSG,0.12586037364798427,1
186,ATL,CVG,0.17527932960893855,2
187,ATL,DAB,0.16854636591478697,2
188,ATL,DAL,0.21569688768606224,3
189,ATL,DAY,0.11954992967651196,1
190,ATL,DCA,0.19989260303396428,2
191,ATL,DEN,0.24654165385797724,3
192,ATL,DFW,0.24364343404128028,3
193,ATL,DHN,0.10038119440914867,1
194,ATL,DSM,0.14655172413793102,1
195,ATL,DTW,0.22787921348314608,3
196,ATL,ECP,0.18791264601320468,2
197,ATL,EGE,0.18181818181818182,2
198,ATL,ELP,0.17208672086720866,2
199,ATL,EVV,0.1346578366445916,1
200,ATL,EWR,0.24248210023866348,3
201,ATL,EYW,0.17728706624605678,2
202,ATL,FAY,0.17586649550706032,2
203,ATL,FLL,0.2951999056492511,4
204,ATL,FSD,0.2519480519480519,4
205,ATL,FWA,0.1636556854410202,2
206,ATL,GEG,0.11627906976744186,1
207,ATL,GNV,0.13370786516853933,1
208,ATL,GPT,0.13137557959814528,1
209,ATL,GRB,0.13144329896907217,1
210,ATL,GRR,0.19393511988716503,2
211,ATL,GSO,0.15309046254604994,2
212,ATL,GSP,0.20012165450121655,3
213,ATL,GTR,0.10939226519337017,1
214,ATL,HDN,0.1320754716981132,1
215,ATL,HHH,0.12156862745098039,1
216,ATL,HNL,0.25569620253164554,4
217,ATL,HOU,0.24560301507537688,3
218,ATL,HPN,0.16797488226059654,2
219,ATL,HSV,0.13803956834532374,1
220,ATL,IAD,0.19058762350494018,2
221,ATL,IAH,0.2514067888909058,4
222,ATL,ICT,0.12275985663082438,1
223,ATL,ILM,0.11061618411284335,1
224,ATL,IND,0.19263217097862767,2
225,ATL,ISP,0.0,0
226,ATL,JAC,0.2772727272727273,4
227,ATL,JAN,0.15497163332338013,2
228,ATL,JAX,0.248,3
229,ATL,JFK,0.31835655934646806,5
230,ATL,LAS,0.2845065245359309,4
231,ATL,LAX,0.2515400410677618,4
232,ATL,LEX,0.13202933985330073,1
233,ATL,LFT,0.1841860465116279,2
234,ATL,LGA,0.2596917890681435,4
235,ATL,LIT,0.16407185628742516,2
236,ATL,MCI,0.22315973232470177,3
237,ATL,MCO,0.27621673205386493,4
238,ATL,MDT,0.10938924339106655,1
239,ATL,MDW,0.2676997061180871,4
